,HOTEL NAME,LOCALITY,REGION,OLD PRICE,PRICE AFTER DISCOUNT,% DISCOUNT,STATUS
73,OYO Rooms 361 Paharganj Near Darbar Sweets,Pahar Ganj,Delhi,₹ 1499,₹ 1124,25% OFF,Available
74,OYO Premium 532 GK1 M Block Market 1,Greater Kailash 1,Delhi,₹ 4649,₹ 3487,25% OFF,Available
75,OYO Rooms 027 Karol Bagh 8/41,Karol Bagh,Delhi,₹ 1649,₹ 1237,25% OFF,Available
76,OYO Rooms 358 Near Jasola Sports Complex,Jasola,Delhi,₹ 1649,₹ 1237,25% OFF,Available
77,OYO Premium 236 Malviya Nagar Metro,Malviya Nagar,Delhi,₹ 3999,₹ 2999,25% OFF,Available
78,OYO Homes 678 Jangpura Birbal Road,Jangpura Extension,Delhi,₹ 1699,₹ 1274,25% OFF,Available
79,OYO Apartments 561 Ramphal Chowk,"Palam Extension, Sector 7, Near Gold's Gym",Delhi,₹ 1899,₹ 1424,25% OFF,Available
80,OYO Rooms 038 Jamia River View,Jamia Nagar,Delhi,₹ 1399,₹ 1049,25% OFF,Available
81,OYO Premium 483 Lajpat Nagar Ring Road 2,Ring Road,Delhi,₹ 4199,₹ 3149,25% OFF,Available
82,OYO Homes 382 Pitampura Metro Station,Road no 44,Delhi,₹ 2149,₹ 1612,25% OFF,Available
83,OYO Premium 123 Hauz Khas,Safdarjung Enclave,Delhi,₹ 3649,₹ 2737,25% OFF,Available
84,OYO Rooms 115 Main Bazar Paharganj,Near Imperial Cinema,Delhi,₹ 1249,₹ 937,25% OFF,Available
85,OYO Rooms 296 Railway Station Paharganj 2,Paharganj,Delhi,₹ 1449,₹ 1087,25% OFF,Available
86,OYO Homes 375 South Extension 1 H Block,South Extension - 1,Delhi,₹ 2249,₹ 1687,25% OFF,Available
87,OYO Rooms 297 PVR Saket,Saket,Delhi,₹ 3449,₹ 2587,25% OFF,Available
88,OYO Rooms 065 Janakpuri Near Dabri Mod,"Pankha Road,Dabri Mor",Delhi,₹ 2899,₹ 2174,25% OFF,Available
89,OYO Rooms 136 Karol Bagh 5/25,Karolbagh,Delhi,₹ 1599,₹ 1199,25% OFF,Available
90,OYO Rooms 396 Nirman Vihar Metro,Near Nirman Vihar Metro Station,Delhi,₹ 2449,₹ 1837,25% OFF,Available
91,OYO Rooms 268 Gali Hari Mandir Paharganj,Paharganj,Delhi,₹ 1249,₹ 937,25% OFF,Available
92,OYO Rooms 277 Near Jhandewalan Metro,Karol Bagh,Delhi,₹ 2099,₹ 1574,25% OFF,Available
93,OYO Premium 672 Paharganj Police Station,"Street No.1, Multani Dhanda, Paharganj",Delhi,₹ 1949,₹ 1462,25% OFF,Available
94,OYO Rooms 043 Nehru Place Extension,Jasola,Delhi,₹ 1499,₹ 1124,25% OFF,Available
95,OYO Rooms 683 Near T3 Airport Delhi,Kapashera,Delhi,₹ 2299,₹ 1724,25% OFF,Available
96,OYO Rooms 596 Main Bazaar Paharganj Gali No 1,"Main Bazar, 6 Tooti Chowk",Delhi,₹ 1299,₹ 974,25% OFF,Available
97,OYO Rooms 609 Paharganj Near NDLS,"Ram Nagar, Street No.1",Delhi,₹ 1599,₹ 1199,25% OFF,Available
98,OYO Rooms 266 7A/36 Channa Market Karol Bagh,Karol Bagh,Delhi,₹ 1699,₹ 1274,25% OFF,Available
99,OYO Rooms 173 Paharganj Qutub Road,Ram Nagar,Delhi,₹ 1449,₹ 1087,25% OFF,Available
100,OYO Rooms 173 Paharganj Qutub Road,Ram Nagar,Delhi,₹ 1449,₹ 1087,25% OFF,Available
101,OYO Rooms 578 Karol Bagh 16/7 Arya Samaj Road,"Arya Samaj Road, Opposite Satbhrawan School",Delhi,₹ 1349,₹ 1012,25% OFF,Available
102,OYO Rooms 230 Near RK Ashram Metro Paharganj,Paharganj,Delhi,₹ 1599,₹ 1199,25% OFF,Available
103,OYO Rooms 626 DB Gupta NDLS,"Near Gate No 1, Opposite Sheila Cinema",Delhi,₹ 1849,₹ 1387,25% OFF,Available
104,OYO Rooms 451 Gali No 3 Ram Nagar Paharganj,"Saran Building, Gali No. 3",Delhi,₹ 1599,₹ 1199,25% OFF,Available
105,OYO Flagship 497 Green Park,"B Block, Safdarjung Enclave",Delhi,₹ 5049,₹ 3787,25% OFF,SOLD OUT 
106,OYO Flagship 500 New Friends Colony,"Plot no. A-44, A Block, New Friends Colony, Delhi",Delhi,₹ 3899,₹ 2924,25% OFF,SOLD OUT 
107,OYO Flagship 494 East of Kailash,"Plot no. E-301, E Block, East of Kailash, Delhi",Delhi,₹ 3699,₹ 2774,25% OFF,SOLD OUT 
108,OYO Flagship 512 Safdarjung Enclave,"B Block, Safdurjung Enclave",Delhi,₹ 3449,₹ 2587,25% OFF,SOLD OUT 
109,OYO Flagship 573 Paharganj NDLS,"Arakashan Road, Paharganj",Delhi,₹ 1799,₹ 1349,25% OFF,SOLD OUT 
110,OYO Premium 526 Wazirpur Industrial Area,"Phase 2, Ashok Vihar, New Delhi",Delhi,₹ 6099,₹ 4574,25% OFF,SOLD OUT 
111,OYO Rooms 610 Green Park Extension,Hauz Khas Village,Delhi,₹ 4999,₹ 3749,25% OFF,SOLD OUT 
112,OYO Rooms 606 New Friends Colony 1,New Friends Colony,Delhi,₹ 3849,₹ 2887,25% OFF,SOLD OUT 
113,OYO Rooms 699 North Campus,"Phase 2, Ashok Vihar",Delhi,₹ 2349,₹ 1762,25% OFF,SOLD OUT 
114,OYO Premium 538 Hauz Khas Metro,"S Block, Panchsheel Park",Delhi,₹ 3349,₹ 2512,25% OFF,SOLD OUT 
115,OYO Premium 336 Resort International Airport Delhi,Kapashera,Delhi,₹ 5799,₹ 4349,25% OFF,SOLD OUT 
116,OYO Rooms 592 Deer Park,SFE,Delhi,₹ 3299,₹ 2474,25% OFF,SOLD OUT 
117,OYO Rooms 698 Paharganj NDLS,"Arakashan Road,Pahargankj",Delhi,₹ 2049,₹ 1537,25% OFF,SOLD OUT 
118,OYO Rooms 697 Karol Bagh,"Desh Bandhu Gupta Road, Beadonpura, Karol Bagh",Delhi,₹ 2049,₹ 1537,25% OFF,SOLD OUT 
119,OYO Flagship 551 Karol Bagh,"Next to Baptist Church,D.B Gupta Road, Near Police Station, Karol Bagh",Delhi,₹ 3349,₹ 2512,25% OFF,SOLD OUT 
120,OYO Flagship 551 Karol Bagh,"Next to Baptist Church,D.B Gupta Road, Near Police Station, Karol Bagh",Delhi,₹ 3349,₹ 2512,25% OFF,SOLD OUT 
121,OYO Rooms 676 Safdarjung Enclave 2,"B Block, Safdurjung Enclave",Delhi,₹ 3449,₹ 2587,25% OFF,SOLD OUT 
