Type,F1,F2,F3,F4
m,0.803330917,0.242557609,1.045888526,0.697259017
t,0.146076104,0.03944955,0.185525654,0.123683769
m,0.683789578,0.413997715,1.097787293,0.731858195
t,0.315961584,0.113429542,0.429391126,0.286260751
m,0.286375125,0.057405965,0.34378109,0.229187393
t,0.493604585,0.175197399,0.668801984,0.445867989
m,0.368099021,0.078011346,0.446110367,0.297406911
t,1.339781759,0.296448749,1.636230508,1.090820339
t,-0.046550843,0.088789298,0.042238455,0.02815897
t,0.446605189,0.049403682,0.496008871,0.330672581
t,0.131701641,0.082456603,0.214158244,0.142772163
m,0.676539422,0.113426446,0.789965868,0.526643912
m,0.190665674,0.065950929,0.256616603,0.171077735
t,0.339575713,0.104030239,0.443605952,0.295737301
m,0.062474787,0.053145576,0.115620363,0.077080242
m,0.221060775,0.06368115,0.284741925,0.18982795
t,0.282040676,0.086606688,0.368647364,0.245764909
t,0.038251218,0.053362976,0.091614194,0.061076129
m,0.128983607,0.095257915,0.224241522,0.149494348
m,0.482237857,0.135779399,0.618017256,0.412011504
t,0.30150447,0.14341366,0.44491813,0.296612087
m,0.466549985,0.260466342,0.727016327,0.484677551
m,0.256643764,0.109487603,0.366131367,0.244087578
t,0.122269776,0.063304815,0.185574591,0.123716394
m,0.442271973,0.202047276,0.644319249,0.429546166
m,0.61288944,0.281000399,0.893889839,0.595926559
t,0.490629934,0.13269892,0.623328854,0.415552569
m,0.029245076,0.112799851,0.142044927,0.094696618
t,0.225423316,0.056980042,0.282403358,0.188268905
m,0.615150026,0.159312546,0.774462572,0.516308381
m,0.336993083,0.066595865,0.403588948,0.269059299
m,0.573202773,0.112060921,0.685263694,0.456842463
m,0.093136114,0.044415346,0.13755146,0.091700973
t,0.477681436,0.035181334,0.51286277,0.341908513
t,0.21765932,0.031501782,0.249161102,0.166107401
m,0.101214977,0.041058929,0.142273906,0.094849271
t,0.180224386,0.031528449,0.211752835,0.141168557
t,0.302224985,0.144721205,0.44694619,0.297964127
m,0.388638299,0.117745223,0.506383522,0.337589015
t,0.130633054,0.047231757,0.177864811,0.118576541
t,0.407122336,0.166859646,0.573981982,0.382654655
m,0.344571426,0.095017617,0.439589043,0.293059362
t,-0.033761051,0.056335612,0.022574561,0.015049707
t,0.372355424,0.322131268,0.694486692,0.462991128
m,0.105514349,0.164461147,0.269975496,0.179983664
m,0.561440464,0.270896268,0.832336732,0.554891155
t,0.129226094,0.058678725,0.187904819,0.125269879
t,0.154251778,0.046752089,0.201003867,0.134002578
m,-0.093079563,0.024652525,-0.068427038,-0.045618025
t,0.811572724,0.303073205,1.114645929,0.743097286
t,0.904820147,0.260149428,1.164969575,0.776646383
t,-0.078777663,0.036952808,-0.041824855,-0.027883237
m,0.146370034,0.035742155,0.182112189,0.121408126
t,0.282750698,0.118797555,0.401548253,0.267698835
m,0.415059364,0.070345534,0.485404898,0.323603265
t,0.372649977,0.090572436,0.463222413,0.308814942
m,0.279886615,0.16651974,0.446406355,0.297604237
m,0.244524832,0.04668362,0.291208452,0.194138968
m,0.468302088,0.061360282,0.52966237,0.353108247
m,0.516021532,0.321241569,0.837263101,0.558175401
t,0.222079915,0.058505842,0.280585757,0.187057171
m,0.207129773,0.046839196,0.253968969,0.169312646
t,0.185561733,0.078176178,0.263737911,0.175825274
m,0.553662286,0.298577554,0.85223984,0.568159893
t,0.143336397,0.296485268,0.439821665,0.293214443
t,0.162671023,0.149883555,0.312554578,0.208369719
t,1.419833326,0.520121965,1.939955291,1.293303527
m,0.111961307,0.051336141,0.163297448,0.108864965
m,0.4883687,0.062077478,0.550446178,0.366964119
t,0.471210519,0.267155045,0.738365564,0.492243709
t,0.279820986,0.080311778,0.360132764,0.240088509
t,0.029015123,0.06377835,0.092793473,0.061862315
m,0.12324841,0.052992809,0.176241219,0.117494146
m,0.303610552,0.247271517,0.550882069,0.367254713
m,0.765506427,0.178855837,0.944362264,0.629574843
m,0.878777458,0.320787528,1.199564986,0.799709991
t,0.156131831,0.05586585,0.211997681,0.141331787
t,0.380325205,0.095736633,0.476061838,0.317374559
t,0.1681937,0.085449378,0.253643078,0.169095385
m,0.506610167,0.226404239,0.733014406,0.488676271
m,0.265989123,0.047618949,0.313608072,0.209072048
t,0.035685269,0.139709268,0.175394537,0.116929691
m,0.166812473,0.12856466,0.295377133,0.196918089
m,0.509840846,0.113981161,0.623822007,0.415881338
t,-0.171929381,0.066598303,-0.105331078,-0.070220719
m,0.287845738,0.05179575,0.339641488,0.226427659
t,0.17895211,0.051692069,0.230644179,0.153762786
t,0.3649546,0.133300084,0.498254684,0.332169789
m,0.248696817,0.091181237,0.339878054,0.226585369
t,0.221115953,0.029797957,0.25091391,0.16727594
m,0.371997774,0.06718802,0.439185794,0.292790529
m,0.085387773,0.096255369,0.181643142,0.121095428
t,0.255470146,0.060836525,0.316306671,0.210871114
m,0.375784543,0.113142578,0.488927121,0.325951414
t,0.349491309,0.10138515,0.450876459,0.300584306
t,0.206281612,0.082375539,0.288657151,0.192438101
m,0.054950141,0.059916334,0.114866475,0.07657765
m,-0.18103495,0.041245309,-0.139789641,-0.093193094
t,-0.004347708,0.044307737,0.039960029,0.026640019
t,0.053398675,0.042562479,0.095961154,0.063974103
t,0.44410822,0.113491309,0.557599529,0.371733019
t,0.309387544,0.038804725,0.348192269,0.232128179
t,0.972908146,0.217777565,1.190685711,0.793790474
t,0.307947631,0.045486361,0.353433992,0.235622661
t,0.008778053,0.058090269,0.066868322,0.044578881
m,0.353352159,0.096778168,0.450130327,0.300086885
m,0.093931845,0.048976396,0.142908241,0.095272161
t,0.703679727,0.160045541,0.863725268,0.575816845
t,0.443798406,0.132665603,0.576464009,0.384309339
m,0.5318552,0.15000497,0.68186017,0.454573447
m,0.115952882,0.143455182,0.259408064,0.172938709
m,-0.015824183,0.059958079,0.044133896,0.029422597
t,0.379953114,0.052087678,0.432040792,0.288027195
m,1.336403303,0.57230952,1.908712823,1.272475215
t,0.277591382,0.068716165,0.346307547,0.230871698
m,0.04696605,0.118275534,0.165241584,0.110161056
t,-0.188885444,0.065704482,-0.123180962,-0.082120641
t,0.335723939,0.101946706,0.437670645,0.29178043
