,Unnamed: 0,HOTEL NAME,LOCALITY,REGION,OLD PRICE,PRICE AFTER DISCOUNT,% DISCOUNT,STATUS
134,134,OYO Rooms 039 Near Qutub Road Arya Nagar Paharganj,Paharganj,Delhi, 1099, 824,25,0
135,135,OYO Homes 330 New Friends Colony,Friends Colony East,Delhi, 3999, 2999,25,0
136,136,OYO Premium 081 Domestic Airport Delhi,"Khasara No.395, Vasant Kunj Road, Mahipalpur",Delhi, 3299, 2474,25,0
137,137,OYO Rooms 031 Near IGI Airport Aerocity,"National Highway No. 8, Mahipalpur",Delhi, 3749, 2812,25,0
138,138,OYO Rooms 437 North Campus,"Opposite Parmarth Hospital, Above Allahabad Bank",Delhi, 2549, 1912,25,0
139,139,OYO Rooms 541 Dwarka Sector 13 Metro Station,"Sector 13, Dwarka",Delhi, 3849, 2887,25,0
140,140,OYO Rooms 079 Delhi International Airport,"Mahipalpur Extn, Near Airport, National Highway -8",Delhi, 3249, 2437,25,0
141,141,OYO Rooms 190 Opp IGI Airport,"NH 8, Near IGI Airport Road No. 1, Mahipalpur Extension",Delhi, 3749, 2812,25,0
142,142,OYO Rooms 506 GK 1 Market,Greater Kailash 1,Delhi, 5099, 3824,25,0
143,143,OYO Rooms 540 Near Pitampura Metro,Dakshini Pitampura,Delhi, 3499, 2624,25,0
144,144,OYO Rooms 051 New Friends Colony Market,New Friends Colony,Delhi, 2949, 2212,25,0
145,145,OYO Premium 586 Near Meera Bagh,"Outer Ring Road, Meera Bagh",Delhi, 3949, 2962,25,0
146,146,OYO Premium 311 Ring Road GK1 2,Greater Kailash 1,Delhi, 4749, 3562,25,0
147,147,OYO Rooms 028 Friends Hospital NFC,Maharani Bagh,Delhi, 2299, 1724,25,0
148,148,OYO Rooms 082 Patel Nagar Main Market,Main Market,Delhi, 3399, 2549,25,0
149,149,OYO Premium 510 International Airport Terminal 3,Opposite Kapashera Police Station Kapashera,Delhi, 3349, 2512,25,0
150,150,OYO Rooms 566 Saket J Block,"Opposite J Block Market, Saket",Delhi, 3499, 2624,25,0
151,151,OYO Rooms 157 Delhi Airport 2,"Opposite Indra Gandhi International Airport, Mahipalpur Extension, NH-8",Delhi, 1899, 1424,25,0
